NoJI,Mesin,Tanggal SUP
2859 6G,CERUTI.1                                          ,9/6/2021
3932A 0D,CERUTI.1                                          ,9/6/2021
7822 0A,CERUTI.1                                          ,9/6/2021
7306 0A,CERUTI.1                                          ,9/6/2021
7834 1A,CERUTI.1                                          ,9/6/2021
7835 1A,CERUTI.1                                          ,9/6/2021
7668 0C,CERUTI.1                                          ,9/6/2021
3979 3J,CERUTI.1                                          ,9/6/2021
1200 4I,CERUTI.2                                          ,9/6/2021
7050 0C,CERUTI.2                                          ,9/6/2021
5293 2G,CERUTI.2                                          ,9/6/2021
7607 0A,CERUTI.2                                          ,9/6/2021
5259 2E,CERUTI.2                                          ,9/6/2021
5261 2D,CERUTI.2                                          ,9/6/2021
7142 0B,CERUTI.2                                          ,9/6/2021
4285 3F,CERUTI.2                                          ,9/6/2021
7791 1B,CERUTI.3                                          ,9/8/2021
5622 1C,CERUTI.2                                          ,9/6/2021
7595 1B,CERUTI.3                                          ,9/7/2021
7851 0A,CERUTI.2                                          ,9/7/2021
7850 0A,CERUTI.2                                          ,9/7/2021
6071 1B,CERUTI.2                                          ,9/7/2021
3543 8Q,CERUTI.3                                          ,9/7/2021
6930 0A,CERUTI.3                                          ,9/7/2021
6943 0A,CERUTI.3                                          ,9/7/2021
6506 1E,CERUTI.3                                          ,9/7/2021
7819 0A,CERUTI.1                                          ,9/7/2021
6783 1B,CERUTI.3                                          ,9/7/2021
7789 1B,CERUTI.3                                          ,9/7/2021
7842 0B,CERUTI.3                                          ,9/7/2021
6601 1F,CERUTI.3                                          ,9/7/2021
1701 11P,CERUTI.5,9/7/2021
6787 0A,CERUTI.3                                          ,9/7/2021
6837 0C,CERUTI.3                                          ,9/7/2021
5575 2C,CERUTI.3                                          ,9/7/2021
6002 1G,CERUTI.3                                          ,9/7/2021
1736 5G,CERUTI.3                                          ,9/7/2021
1633 5I,CERUTI.3                                          ,9/7/2021
6718 0C,CERUTI.2                                          ,9/9/2021
5976 1D,CERUTI.3                                          ,9/7/2021
5587 1B,CERUTI.1                                          ,9/8/2021
7470 1B,CERUTI.1                                          ,9/8/2021
7893 0A,CERUTI.1                                          ,9/8/2021
4522 3H,CERUTI.1                                          ,9/8/2021
1748 5I,CERUTI.1                                          ,9/8/2021
1735 6J,CERUTI.1                                          ,9/8/2021
7838 0A,CERUTI.1                                          ,9/8/2021
7930 0A,CERUTI.1                                          ,9/8/2021
5661 5F,CERUTI.1                                          ,9/8/2021
1492 12M,CERUTI.1                                          ,9/8/2021
7904 0A,CERUTI.1                                          ,9/8/2021
0272A 8H,CERUTI.1                                          ,9/8/2021
2574 5I,CERUTI.1                                          ,9/8/2021
6573 0E,CERUTI.1                                          ,9/8/2021
4645 4E,CERUTI.1                                          ,9/8/2021
4803 2F,CERUTI.1                                          ,9/8/2021
7396 0A,CERUTI.1                                          ,9/8/2021
6776 1B,CERUTI.1                                          ,9/8/2021
7912 0B,CERUTI.1                                          ,9/8/2021
6590 2B,CERUTI.1                                          ,9/8/2021
3798 3E,CERUTI.1                                          ,9/8/2021
7909 0A,CERUTI.1                                          ,9/8/2021
7927 0A,CERUTI.1                                          ,9/8/2021
3976 2J,CERUTI.1                                          ,9/8/2021
2680 5H,CERUTI.1                                          ,9/8/2021
7933 0A,CERUTI.1                                          ,9/8/2021
7934 0A,CERUTI.1                                          ,9/8/2021
3113 4F,CERUTI.1                                          ,9/8/2021
3975 4E,CERUTI.1                                          ,9/8/2021
2239 1E,CERUTI.1                                          ,9/8/2021
5958 0E,CERUTI.1                                          ,9/8/2021
5415 2I,CERUTI.1                                          ,9/8/2021
7258 0A,CERUTI.1                                          ,9/8/2021
7903 0A,CERUTI.2                                          ,9/8/2021
7891 0A,CERUTI.1                                          ,9/8/2021
7187 0B,CERUTI.2                                          ,9/8/2021
6768 0E,CERUTI.2                                          ,9/8/2021
7929 0A,CERUTI.2                                          ,9/8/2021
7931 0A,CERUTI.2                                          ,9/8/2021
5354 2D,CERUTI.2                                          ,9/8/2021
5353 2D,CERUTI.2                                          ,9/8/2021
5260 2E,CERUTI.2                                          ,9/8/2021
5207 1B,CERUTI.2                                          ,9/9/2021
5598 0B,CERUTI.2                                          ,9/9/2021
3050 2D,CERUTI.2                                          ,9/9/2021
6101 1D,CERUTI.2                                          ,9/9/2021
5498 2D,CERUTI.2                                          ,9/9/2021
4613 4J,CERUTI.2                                          ,9/9/2021
5294 1F,CERUTI.2                                          ,9/9/2021
5385 1F,CERUTI.2                                          ,9/9/2021
5297 2G,CERUTI.2                                          ,9/9/2021
2840 6M,CERUTI.2                                          ,9/9/2021
4804 2F,CERUTI.2                                          ,9/9/2021
7916 0B,CERUTI.2                                          ,9/9/2021
7906 0A,CERUTI.2                                          ,9/9/2021
2223 4G,CERUTI.2                                          ,9/9/2021
7814 0A,CERUTI.2                                          ,9/9/2021
3799 8M,CERUTI.2                                          ,9/9/2021
7320A 0A,CERUTI.2                                          ,9/9/2021
7448 1B,CERUTI.2                                          ,9/9/2021
6963 1D,CERUTI.2                                          ,9/9/2021
6962 1D,CERUTI.2                                          ,9/9/2021
4140 2G,CERUTI.2                                          ,9/9/2021
6475 0D,CERUTI.2                                          ,9/9/2021
6474 0D,CERUTI.2                                          ,9/9/2021
4174A 1E,CERUTI.2                                          ,9/9/2021
2796 5E,CERUTI.2                                          ,9/9/2021
5723 0C,CERUTI.2                                          ,9/9/2021
