NoJI,Mesin,Tanggal SUP
6735 0B,CERUTI.2                                          ,6/30/2021
5393 1C,CERUTI.2                                          ,7/1/2021
5396 1C,CERUTI.2                                          ,7/1/2021
7645 0A,JASA PRINTING DI RAPIGRA                          ,7/1/2021
0412 5J,CERUTI.1                                          ,7/1/2021
7515 0A,CERUTI.2                                          ,7/1/2021
1636 5I,CERUTI.2                                          ,7/1/2021
6983 0A,CERUTI.1                                          ,7/1/2021
7181 0B,CERUTI.2                                          ,7/1/2021
5242 0B,CERUTI.2                                          ,7/2/2021
6832 0B,CERUTI.1                                          ,7/2/2021
6718 0B,CERUTI.2                                          ,7/2/2021
7656A 0A,CERUTI.1                                          ,7/2/2021
7239 0A,CERUTI.2                                          ,7/2/2021
7644A 0A,CERUTI.2                                          ,7/2/2021
7591 0A,CERUTI.1                                          ,7/2/2021
7612 0A,CERUTI.5,7/2/2021
4285 2E,CERUTI.1                                          ,7/2/2021
7032 0B,CERUTI.2                                          ,7/2/2021
6666 1F,CERUTI.5,7/2/2021
7240 0A,CERUTI.2                                          ,7/3/2021
6252 1B,CERUTI.2                                          ,7/3/2021
2994 4K,CERUTI.5,7/4/2021
5392 1C,CERUTI.2                                          ,7/4/2021
7330 0A,CERUTI.2                                          ,7/4/2021
5763 1C,CERUTI.1                                          ,7/4/2021
1618 5N,CERUTI.2                                          ,8/6/2021
7658 0A,CERUTI.1                                          ,7/5/2021
1619 5O,CERUTI.2                                          ,7/5/2021
1617 6O,CERUTI.2                                          ,8/6/2021
7659 0A,CERUTI.1                                          ,7/5/2021
7157 0A,CERUTI.1                                          ,7/6/2021
7664 0A,CERUTI.2                                          ,7/6/2021
6962 1C,CERUTI.3                                          ,7/6/2021
6963 1C,CERUTI.2                                          ,7/6/2021
7229 1C,CERUTI.1                                          ,7/6/2021
2680 3G,CERUTI.2                                          ,7/6/2021
4677A 3G,CERUTI.2                                          ,7/8/2021
2169 3K,CERUTI.2                                          ,7/7/2021
7646 0A,CERUTI.1                                          ,7/7/2021
7640 0A,CERUTI.2                                          ,7/7/2021
7626 0B,CERUTI.1                                          ,7/7/2021
4678A 3G,CERUTI.3                                          ,7/7/2021
7147 0A,CERUTI.1                                          ,7/7/2021
4923 1D,CERUTI.1                                          ,7/7/2021
5605 1B,CERUTI.1                                          ,7/7/2021
6507 0A,CERUTI.1                                          ,7/7/2021
2577 5I,CERUTI.1                                          ,7/7/2021
4907 1B,CERUTI.1                                          ,7/7/2021
3140 2D,CERUTI.2                                          ,7/27/2021
3031 2D,CERUTI.1                                          ,7/7/2021
3364 2C,CERUTI.1                                          ,7/7/2021
7551 0A,CERUTI.1                                          ,7/7/2021
6837 0B,CERUTI.2                                          ,7/7/2021
7668 0B,CERUTI.1                                          ,7/8/2021
4989 10P,CERUTI.1                                          ,7/8/2021
6022 3F,CERUTI.3                                          ,7/8/2021
6309 0A,CERUTI.1                                          ,7/8/2021
6926 0B,CERUTI.1                                          ,7/8/2021
6772 1B,CERUTI.1                                          ,7/8/2021
6346 0B,CERUTI.1                                          ,7/8/2021
7137 1F,CERUTI.1                                          ,7/8/2021
7665 0A,CERUTI.1                                          ,7/8/2021
7655 0A,CERUTI.1                                          ,7/8/2021
5604 0C,CERUTI.1                                          ,7/8/2021
5050 2C,CERUTI.1                                          ,7/8/2021
7683 0A,CERUTI.1                                          ,7/8/2021
6402 2E,CERUTI.2                                          ,9/9/2021
6446 0B,CERUTI.1                                          ,7/8/2021
2575 5J,CERUTI.1                                          ,7/8/2021
7663 0B,CERUTI.1                                          ,7/8/2021
7662 0B,CERUTI.1                                          ,7/8/2021
4903 1B,CERUTI.1                                          ,7/8/2021
4906 1B,CERUTI.1                                          ,7/8/2021
7639 0A,CERUTI.1                                          ,7/8/2021
4584 2D,CERUTI.2                                          ,7/8/2021
4588 2D,CERUTI.2                                          ,7/8/2021
7642 0A,CERUTI.2                                          ,7/8/2021
7635 0A,CERUTI.2                                          ,7/8/2021
6948 2D,CERUTI.2                                          ,7/8/2021
6916 0A,CERUTI.2                                          ,7/8/2021
7121 0A,CERUTI.2                                          ,7/8/2021
7379 0A,CERUTI.2                                          ,7/8/2021
3841 3G,CERUTI.2                                          ,7/8/2021
4046 2F,CERUTI.2                                          ,7/8/2021
6953 0A,CERUTI.2                                          ,7/8/2021
4090A 1C,CERUTI.2                                          ,7/8/2021
5201 1B,CERUTI.2                                          ,7/8/2021
2599 6J,CERUTI.2                                          ,7/8/2021
7172 0B,CERUTI.2                                          ,7/8/2021
6678 0C,CERUTI.2                                          ,7/8/2021
7647 0A,CERUTI.2                                          ,7/8/2021
7318 1C,CERUTI.2                                          ,7/8/2021
5756 0B,CERUTI.2                                          ,7/8/2021
3581 2D,CERUTI.2                                          ,7/8/2021
7052 0A,CERUTI.2                                          ,7/8/2021
6072 1F,CERUTI.2                                          ,7/8/2021
1273 8P,CERUTI.2                                          ,7/8/2021
6350 2G,CERUTI.2                                          ,7/8/2021
6285 0A,CERUTI.2                                          ,7/8/2021
6340 2E,CERUTI.2                                          ,7/8/2021
4871 5I,CERUTI.2                                          ,7/8/2021
1620 6O,CERUTI.2                                          ,7/8/2021
7187 0A,CERUTI.2                                          ,7/8/2021
7288 0A,CERUTI.2                                          ,7/8/2021
7144 0A,CERUTI.2                                          ,7/8/2021
7120 0A,CERUTI.2                                          ,7/8/2021
7703 0A,CERUTI.2                                          ,7/8/2021
2607 3F,CERUTI.2                                          ,7/8/2021
6098 1B,CERUTI.2                                          ,7/8/2021
6165 0B,CERUTI.2                                          ,7/8/2021
5691 0G,CERUTI.3                                          ,7/8/2021
5845A 5D,CERUTI.5,7/8/2021
3849A 1D,CERUTI.3                                          ,7/8/2021
6000 3G,CERUTI.3                                          ,7/8/2021
5886A 0A,CERUTI.3                                          ,7/8/2021
3614 4J,CERUTI.1                                          ,9/8/2021
6826 0A,CERUTI.3                                          ,7/8/2021
3616 5K,CERUTI.1                                          ,9/8/2021
3613 3L,CERUTI.1                                          ,9/6/2021
4525 3G,CERUTI.3                                          ,7/8/2021
4522 3G,CERUTI.3                                          ,7/8/2021
7478 0B,CERUTI.1                                          ,7/9/2021
5736 3H,CERUTI.3                                          ,7/8/2021
5734 3H,CERUTI.3                                          ,7/8/2021
7700 0A,CERUTI.3                                          ,7/8/2021
7685 0A,CERUTI.3                                          ,7/8/2021
2820 4F,CERUTI.1                                          ,7/27/2021
7479 0B,CERUTI.5,7/8/2021
5735 2H,CERUTI.5,7/8/2021
5466 3J,CERUTI.5,7/8/2021
7165 0A,CERUTI.5,7/8/2021
6339 1G,CERUTI.5,7/8/2021
5674 1B,CERUTI.1                                          ,7/8/2021
4344 3C,CERUTI.1                                          ,7/8/2021
4247 4G,CERUTI.1                                          ,7/8/2021
6813A 1C,CERUTI.2                                          ,7/8/2021
7610 0A,CERUTI.2                                          ,7/8/2021
7611 0A,CERUTI.2                                          ,7/8/2021
7494 0A,CERUTI.2                                          ,7/8/2021
7355 0A,CERUTI.2                                          ,7/8/2021
7405 0B,CERUTI.3                                          ,7/8/2021
5937 0B,CERUTI.3                                          ,7/9/2021
7034 0B,CERUTI.3                                          ,7/9/2021
5817 3K,CERUTI.3                                          ,7/9/2021
5931 0A,CERUTI.5,7/9/2021
5826 1B,CERUTI.5,7/9/2021
6746A 1D,CERUTI.1                                          ,7/9/2021
7703 0B,CERUTI.2                                          ,7/9/2021
5930 0A,CERUTI.5,7/9/2021
7700 0B,CERUTI.3                                          ,7/9/2021
5452 2G,CERUTI.3                                          ,7/12/2021
5351 2F,CERUTI.3                                          ,7/12/2021
5822 0B,CERUTI.2                                          ,7/12/2021
6166A 0D,CERUTI.2                                          ,7/12/2021
6939 1B,CERUTI.2                                          ,7/12/2021
7269 0A,CERUTI.2                                          ,7/12/2021
7270 0A,CERUTI.2                                          ,7/12/2021
5454A 0F,CERUTI.2                                          ,7/12/2021
5703 0A,CERUTI.1                                          ,7/12/2021
2899A 2F,CERUTI.1                                          ,7/12/2021
2862 2J,CERUTI.1                                          ,7/12/2021
0707 3E,CERUTI.1                                          ,7/12/2021
7775 0A,CERUTI.1                                          ,7/13/2021
6547 1B,CERUTI.1                                          ,7/13/2021
2580 6R,CERUTI.1                                          ,7/13/2021
2595 6H,CERUTI.2                                          ,7/13/2021
7286 1B,CERUTI.3                                          ,7/13/2021
5749 0B,CERUTI.3                                          ,7/13/2021
7354 0B,CERUTI.2                                          ,7/18/2021
3282 6M,CERUTI.2                                          ,7/19/2021
5831 1C,CERUTI.2                                          ,7/19/2021
7691 0A,CERUTI.1                                          ,7/19/2021
6838 1B,CERUTI.1                                          ,7/19/2021
7701 0A,CERUTI.1                                          ,8/27/2021
5097 19V,CERUTI.3                                          ,7/19/2021
7583 1A,CERUTI.2                                          ,7/19/2021
5748 3D,CERUTI.3                                          ,7/19/2021
3247 2C,CERUTI.3                                          ,7/19/2021
6529 0A,CERUTI.3                                          ,7/19/2021
7087 1B,CERUTI.3                                          ,7/19/2021
7086 1B,CERUTI.3                                          ,7/19/2021
3246 2C,CERUTI.3                                          ,7/19/2021
7690 1A,CERUTI.2                                          ,8/5/2021
3276A 5H,CERUTI.3                                          ,7/19/2021
5333 1E,CERUTI.3                                          ,7/19/2021
7202 0A,CERUTI.2                                          ,8/6/2021
5535 0C,CERUTI.2                                          ,7/20/2021
6573 0D,CERUTI.1                                          ,7/20/2021
4660 2F,CERUTI.2                                          ,7/21/2021
3486 0E,CERUTI.1                                          ,9/6/2021
2658A 3D,CERUTI.2                                          ,7/21/2021
3112A 3G,CERUTI.2                                          ,7/21/2021
7738A 0A,CERUTI.2                                          ,7/21/2021
4173A 1E,CERUTI.2                                          ,7/21/2021
7697 0A,CERUTI.2                                          ,7/21/2021
7088 1B,CERUTI.2                                          ,7/21/2021
7288 0B,CERUTI.2                                          ,7/21/2021
5415 2H,CERUTI.2                                          ,7/21/2021
6854 2B,CERUTI.3                                          ,7/21/2021
5576 3E,CERUTI.2                                          ,7/21/2021
5778 1A,CERUTI.5,7/21/2021
7681 0A,CERUTI.1                                          ,7/21/2021
7680 0A,CERUTI.1                                          ,7/21/2021
2915 2D,CERUTI.1                                          ,7/21/2021
6858 1B,CERUTI.1                                          ,7/21/2021
6686 0A,CERUTI.1                                          ,7/21/2021
2538 0G,CERUTI.1                                          ,7/21/2021
6550 0B,CERUTI.1                                          ,7/21/2021
2899A 2E,CERUTI.1                                          ,7/22/2021
7705A 0A,CERUTI.3                                          ,7/23/2021
7704A 0A,CERUTI.3                                          ,7/23/2021
6986 1B,CERUTI.1                                          ,7/24/2021
4067 4E,CERUTI.1                                          ,9/7/2021
7289 0A,CERUTI.2                                          ,7/25/2021
7710 0A,CERUTI.1                                          ,7/26/2021
6155 1B,CERUTI.2                                          ,7/26/2021
7790 0A,CERUTI.3                                          ,7/26/2021
7789 0A,CERUTI.2                                          ,7/26/2021
2049 0E,CERUTI.1                                          ,7/26/2021
6432 0B,CERUTI.1                                          ,7/26/2021
7765 0A,CERUTI.1                                          ,7/26/2021
7673 1A,CERUTI.1                                          ,7/26/2021
4152 1F,CERUTI.1                                          ,7/26/2021
7672 1A,CERUTI.1                                          ,7/26/2021
3958 0A,CERUTI.3                                          ,7/27/2021
0274A 10I,CERUTI.1                                          ,7/27/2021
5334 1F,CERUTI.1                                          ,7/27/2021
2585 4F,CERUTI.1                                          ,7/27/2021
7793 0A,CERUTI.3                                          ,7/27/2021
7707 0A,CERUTI.2                                          ,7/27/2021
5554 0D,CERUTI.2                                          ,7/27/2021
7791 0A,CERUTI.2                                          ,7/27/2021
1613 11S,CERUTI.2                                          ,7/27/2021
7085 0A,CERUTI.2                                          ,7/27/2021
7023 0A,CERUTI.2                                          ,7/27/2021
2388 5I,CERUTI.2                                          ,7/27/2021
6335 0A,CERUTI.2                                          ,7/27/2021
6267 1C,CERUTI.2                                          ,7/27/2021
2177 5H,CERUTI.2                                          ,7/27/2021
6098 1C,CERUTI.2                                          ,7/27/2021
7719 0A,CERUTI.2                                          ,7/27/2021
6385 0B,CERUTI.2                                          ,7/27/2021
6386 0B,CERUTI.2                                          ,7/27/2021
4325 2E,CERUTI.2                                          ,7/27/2021
4074 1C,CERUTI.2                                          ,7/27/2021
6392 0A,CERUTI.2                                          ,7/27/2021
2773 3C,CERUTI.2                                          ,7/27/2021
2764 2C,CERUTI.2                                          ,7/27/2021
3958 0B,CERUTI.1                                          ,9/8/2021
6002 1F,CERUTI.3                                          ,7/27/2021
7777 0A,CERUTI.3                                          ,7/27/2021
2548 1D,CERUTI.1                                          ,9/7/2021
7776 0A,CERUTI.3                                          ,7/27/2021
5750 0B,CERUTI.3                                          ,7/27/2021
6585 1F,CERUTI.3                                          ,7/27/2021
6586 2D,CERUTI.3                                          ,7/27/2021
7423 0A,CERUTI.3                                          ,7/27/2021
2797 6J,CERUTI.3                                          ,7/27/2021
6506 1D,CERUTI.5,7/27/2021
3559 5F,CERUTI.5,7/27/2021
6629 2D,CERUTI.5,7/27/2021
7764 0A,CERUTI.1                                          ,8/2/2021
6595 0B,CERUTI.1                                          ,8/2/2021
2721 4J,CERUTI.2                                          ,8/2/2021
2860 5E,CERUTI.1                                          ,8/2/2021
6422 1B,CERUTI.1                                          ,8/2/2021
7778 0A,CERUTI.1                                          ,8/2/2021
5747 3F,CERUTI.2                                          ,8/2/2021
4445A 1C,CERUTI.1                                          ,8/3/2021
7662 1B,CERUTI.1                                          ,8/3/2021
2240 2E,CERUTI.1                                          ,8/3/2021
2551 2F,CERUTI.1                                          ,8/3/2021
2715 4E,CERUTI.1                                          ,8/3/2021
6395 0B,CERUTI.1                                          ,8/3/2021
5675 1B,CERUTI.1                                          ,8/3/2021
7741 0A,CERUTI.2                                          ,8/3/2021
7759 0B,CERUTI.2                                          ,8/3/2021
7758 0B,CERUTI.2                                          ,8/3/2021
5297 2F,CERUTI.2                                          ,8/3/2021
5294 1E,CERUTI.2                                          ,8/3/2021
5385 1E,CERUTI.2                                          ,8/3/2021
7029 2D,CERUTI.2                                          ,8/3/2021
2860 3C,CERUTI.1                                          ,8/3/2021
7742 1A,CERUTI.3                                          ,8/4/2021
7847 0A,CERUTI.1                                          ,8/4/2021
7845 0A,CERUTI.1                                          ,8/4/2021
2688 0C,CERUTI.1                                          ,8/4/2021
7667A 0A,CERUTI.1                                          ,8/4/2021
7760A 0A,CERUTI.1                                          ,8/4/2021
4323A 2E,CERUTI.1                                          ,8/4/2021
3408 8K,CERUTI.1                                          ,8/4/2021
7743 0A,CERUTI.1                                          ,8/4/2021
4991 11P,CERUTI.1                                          ,8/4/2021
7339 0A,CERUTI.1                                          ,8/4/2021
7786 0A,CERUTI.1                                          ,8/4/2021
7718 0B,CERUTI.1                                          ,8/4/2021
7827 0A,CERUTI.1                                          ,8/4/2021
7820 0A,CERUTI.1                                          ,8/4/2021
4669 2C,CERUTI.1                                          ,8/4/2021
4325 2F,CERUTI.1                                          ,8/4/2021
7804A 0A,CERUTI.1                                          ,8/5/2021
5887 4G,CERUTI.1                                          ,8/5/2021
5660 6K,CERUTI.1                                          ,8/5/2021
4989 11Q,CERUTI.1                                          ,8/5/2021
7808 0A,CERUTI.1                                          ,8/5/2021
4990 11Q,CERUTI.1                                          ,8/5/2021
7779 1A,CERUTI.1                                          ,8/5/2021
5830 3F,CERUTI.2                                          ,8/5/2021
6151 0A,CERUTI.2                                          ,8/5/2021
7510 0D,CERUTI.2                                          ,8/5/2021
6737 1B,CERUTI.2                                          ,8/5/2021
7663 1B,CERUTI.2                                          ,8/5/2021
6382 0B,CERUTI.2                                          ,8/5/2021
7781 0A,CERUTI.2                                          ,8/5/2021
6004 4G,CERUTI.2                                          ,8/5/2021
4438 1E,CERUTI.2                                          ,8/5/2021
3495A 1G,CERUTI.2                                          ,8/5/2021
5744 0A,CERUTI.2                                          ,8/5/2021
7810 0A,CERUTI.2                                          ,8/5/2021
6258 2E,CERUTI.2                                          ,8/5/2021
7077 0A,CERUTI.2                                          ,8/5/2021
7632 0C,CERUTI.2                                          ,8/5/2021
1153 5J,CERUTI.2                                          ,8/5/2021
6817 0B,CERUTI.2                                          ,8/5/2021
6819 0B,CERUTI.2                                          ,8/5/2021
6818 0B,CERUTI.2                                          ,8/5/2021
7699A 0A,CERUTI.2                                          ,8/5/2021
6794 0C,CERUTI.2                                          ,8/5/2021
6543 1B,CERUTI.2                                          ,8/5/2021
5813 0C,CERUTI.2                                          ,8/5/2021
2205 2E,CERUTI.2                                          ,8/5/2021
4869 5H,CERUTI.2                                          ,8/5/2021
